OBJECTID,A,Service Category,Service Type,Walk-in,Insurance,Children,Facility Name ,Address,City,Borough,Latitude,Longitude,ZIP Code,Phone,Website,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,More Information,DOHMH Website,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
646,748,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Newtown Pharmacy,28-04 31st Street,Astoria,QUEENS,40.768322759999997,-73.920096029999996,11102,(718) 728-9100,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.76832276', 'longitude': '-73.92009603', 'human_address': '{""address"": ""28-04 31st Street"", ""city"": ""Astoria"", ""state"": """", ""zip"": """"}'}",16859,39,3,4,72
70,224,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Walgreens Drug Store,84-20  Broadway,Queens,Queens,40.739637680000001,-73.878190669999995,11373,(800) 358-9950,{'url': 'https://www.walgreens.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.73963768', 'longitude': '-73.87819067', 'human_address': '{""address"": ""84-20 Broadway"", ""city"": ""Queens"", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68
810,840,Vaccines,Flu Vaccine (Influenza),Yes,Yes,Yes,Homecrest Clinic,1601 AVENUE S ,BROOKLYN,BROOKLYN,40.603598169999998,-73.956209020000003,11229,718-616-4594,{'url': 'http://www.nychealthandhospitals.org/hhc/html/home/home.shtml'},,,,,,,,Call location for hours and information. Insurance not required.,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.60359817', 'longitude': '-73.95620902', 'human_address': '{""address"": ""1601 AVENUE S"", ""city"": ""BROOKLYN"", ""state"": """", ""zip"": """"}'}",13512,32,2,15,36
630,659,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Medcare Health Inc.,260 Kings Highway,Brooklyn,BROOKLYN,40.605257330000001,-73.981053450000005,11223,(718) 513-3322,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.60525733', 'longitude': '-73.98105345', 'human_address': '{""address"": ""260 Kings Highway"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",18183,1,2,45,37
366,182,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,949 3RD AVE,NEW YORK,Manhattan,40.760122760000002,-73.96758174,10022,212-223-1765,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.76012276', 'longitude': '-73.96758174', 'human_address': '{""address"": ""949 3RD AVE"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",12419,71,4,51,9
139,127,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,10309 LIBERTY AVE,OZONE PARK,Queens,40.681857000000001,-73.837319359999995,11417,718-659-9621,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.681857', 'longitude': '-73.83731936', 'human_address': '{""address"": ""10309 LIBERTY AVE"", ""city"": ""OZONE PARK"", ""state"": """", ""zip"": """"}'}",24013,62,3,46,64
761,767,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Drugs Care Pharmacy,1001 Church Avenue,Brooklyn,BROOKLYN,40.646657339999997,-73.970176899999998,11218,(718) 856-2976,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.64665734', 'longitude': '-73.9701769', 'human_address': '{""address"": ""1001 Church Avenue"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",17620,60,2,11,43
102,30,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Duane Reade,22 W 48TH ST,NEW YORK,Manhattan,40.757784829999999,-73.979431259999998,10036,212-730-4914,{'url': 'https://www.walgreens.com/topic/duane-reade/duane-reade.jsp'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.75778483', 'longitude': '-73.97943126', 'human_address': '{""address"": ""22 W 48TH ST"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": """"}'}",13094,11,4,51,10
480,620,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Kmart Pharamcy,66-26 metropolitan Avenue ,Middle Village,QUEENS,40.712364219999998,-73.892027729999995,11379,(718) 386-0989,,,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.71236422', 'longitude': '-73.89202773', 'human_address': '{""address"": ""66-26 metropolitan Avenue"", ""city"": ""Middle Village"", ""state"": """", ""zip"": """"}'}",15309,54,3,34,62
348,286,Vaccines,Flu Vaccine (Influenza),Yes,Yes,No,Walgreens Drug Store,1511 86th Street,Brooklyn,Brooklyn,40.611233069999997,-74.009136920000003,11228,(800) 358-9950,{'url': 'https://www.walgreens.com/'},,,,,,,,Call location for hours,{'url': 'http://www1.nyc.gov/site/doh/health/health-topics/flu-seasonal.page'},"{'latitude': '40.61123307', 'longitude': '-74.00913692', 'human_address': '{""address"": ""1511 86th Street"", ""city"": ""Brooklyn"", ""state"": """", ""zip"": """"}'}",13511,1,2,44,37
